"","incgroup_prepost","presapp_track"
"105","$70,000-$74,999","Wrong Track"
"106","$20,000-$22,499","Wrong Track"
"107","$40,000-$44,999","Wrong Track"
"108","$60,000-$64,999","Right Direction"
"109","$25,000-$27,499","Right Direction"
"110","Under $5,000","Right Direction"
"111","$35,000-$39,999","Right Direction"
"112","$5,000-$9,999","Right Direction"
"113","$45,000-$49,999","Right Direction"
"114","$25,000-$27,499","Wrong Track"
"115","$100,000-$109,999","Wrong Track"
"116","$12,500-$14,999","Right Direction"
"117","$10,000-$12,499","Right Direction"
"118","$50,000-$54,999","Wrong Track"
"119","$20,000-$22,499","Right Direction"
"120","$25,000-$27,499",NA
"121","$60,000-$64,999","Right Direction"
"122","$30,000-$34,999","Wrong Track"
"123","$10,000-$12,499","Right Direction"
"124","$50,000-$54,999","Right Direction"
"125","$20,000-$22,499","Wrong Track"
"126","$35,000-$39,999","Wrong Track"
"127","$10,000-$12,499","Wrong Track"
"128","$35,000-$39,999","Right Direction"
"129","$30,000-$34,999","Right Direction"
"130","$30,000-$34,999","Wrong Track"
"131","$75,000-$79,999","Right Direction"
"132","$60,000-$64,999","Right Direction"
"133","$65,000-$69,999","Right Direction"
"134","$45,000-$49,999","Wrong Track"
"135",NA,"Wrong Track"
"136","$30,000-$34,999",NA
"137","$25,000-$27,499","Wrong Track"
"138","$15,000-$17,499","Right Direction"
"139","$35,000-$39,999","Right Direction"
"140","$125,000-$149,999","Right Direction"
"141","$90,000-$99,999","Wrong Track"
"142","$90,000-$99,999","Right Direction"
"143","$45,000-$49,999","Wrong Track"
"144","$50,000-$54,999","Wrong Track"
"145","$55,000-$59,999","Wrong Track"
"146","$65,000-$69,999","Wrong Track"
"147","$90,000-$99,999","Wrong Track"
"148","$27,500-$29,999","Right Direction"
"149","$45,000-$49,999","Right Direction"
"150","$17,500-$19,999","Right Direction"
"151","$50,000-$54,999","Right Direction"
"152","$45,000-$49,999","Wrong Track"
"153","$40,000-$44,999","Wrong Track"
"154","Under $5,000","Wrong Track"
"155","$10,000-$12,499","Wrong Track"
"156","Under $5,000","Wrong Track"
"157","$20,000-$22,499","Wrong Track"
"158",NA,"Wrong Track"
"159","$70,000-$74,999","Wrong Track"
"160","$30,000-$34,999","Wrong Track"
"161","$80,000-$89,999","Wrong Track"
"162",NA,"Wrong Track"
"163",NA,"Right Direction"
"164","$10,000-$12,499","Wrong Track"
"165","$75,000-$79,999",NA
"166","$35,000-$39,999","Wrong Track"
"167","$10,000-$12,499","Right Direction"
"168","$150,000-$174,999","Wrong Track"
"169","$125,000-$149,999","Wrong Track"
"170","$30,000-$34,999","Wrong Track"
"171","$30,000-$34,999","Wrong Track"
"172","$250,000 Or More","Wrong Track"
"173","$35,000-$39,999","Wrong Track"
"174","$250,000 Or More","Wrong Track"
"175","$175,000-$249,999",NA
"176","$100,000-$109,999","Wrong Track"
"177","$125,000-$149,999","Right Direction"
"178","$35,000-$39,999","Wrong Track"
"179","$75,000-$79,999","Wrong Track"
"180","$30,000-$34,999","Right Direction"
"181","$150,000-$174,999","Right Direction"
"182","$35,000-$39,999","Right Direction"
"183","$90,000-$99,999",NA
"184","$100,000-$109,999","Wrong Track"
"185","$100,000-$109,999","Wrong Track"
"186","Under $5,000","Right Direction"
"187","$55,000-$59,999","Wrong Track"
"188","$90,000-$99,999","Right Direction"
"189","$175,000-$249,999","Right Direction"
"190","$25,000-$27,499","Right Direction"
"191","$80,000-$89,999","Wrong Track"
"192","$40,000-$44,999","Wrong Track"
"193","$60,000-$64,999",NA
"194","$27,500-$29,999","Wrong Track"
"195","$80,000-$89,999","Right Direction"
"196","$12,500-$14,999","Right Direction"
"197","$5,000-$9,999","Right Direction"
"198","$50,000-$54,999","Right Direction"
"199","$70,000-$74,999","Right Direction"
"200","$10,000-$12,499","Wrong Track"
"201","$70,000-$74,999","Wrong Track"
"202","Under $5,000","Right Direction"
"203","Under $5,000","Wrong Track"
"204","$12,500-$14,999","Wrong Track"
"205","Under $5,000","Right Direction"
"206","$10,000-$12,499","Right Direction"
"207","Under $5,000","Wrong Track"
"208","Under $5,000","Right Direction"
"209","$20,000-$22,499","Wrong Track"
"210","$25,000-$27,499","Right Direction"
"211","$70,000-$74,999","Wrong Track"
"212","$22,500-$24,999","Right Direction"
"213","$75,000-$79,999","Wrong Track"
"214","$50,000-$54,999","Wrong Track"
"215","Under $5,000","Right Direction"
"216","Under $5,000","Wrong Track"
"217","$60,000-$64,999","Right Direction"
"218","$150,000-$174,999","Wrong Track"
"219","$90,000-$99,999","Wrong Track"
"220","$60,000-$64,999","Right Direction"
"221","$25,000-$27,499","Wrong Track"
"222","Under $5,000","Wrong Track"
"223","$90,000-$99,999","Wrong Track"
"224","$100,000-$109,999","Wrong Track"
"225",NA,"Wrong Track"
"226","$90,000-$99,999","Wrong Track"
"227","$100,000-$109,999","Right Direction"
"228","Under $5,000","Wrong Track"
"229","$5,000-$9,999","Wrong Track"
"230","$125,000-$149,999","Right Direction"
"231","$75,000-$79,999","Wrong Track"
"232","$125,000-$149,999","Right Direction"
"233","$80,000-$89,999","Wrong Track"
"234","$65,000-$69,999","Wrong Track"
"235","$175,000-$249,999","Right Direction"
"236","$30,000-$34,999","Right Direction"
"237","$15,000-$17,499","Right Direction"
"238","$5,000-$9,999","Wrong Track"
"239","$150,000-$174,999","Wrong Track"
"240","$100,000-$109,999","Right Direction"
"241","$30,000-$34,999","Wrong Track"
"242","$70,000-$74,999","Wrong Track"
"243","$110,000-$124,999","Wrong Track"
"244","Under $5,000","Wrong Track"
"245","$45,000-$49,999","Right Direction"
"246","$70,000-$74,999","Right Direction"
"247","$65,000-$69,999","Wrong Track"
"248","$90,000-$99,999","Right Direction"
"249","$30,000-$34,999","Wrong Track"
"250","$60,000-$64,999","Right Direction"
"251","$10,000-$12,499","Wrong Track"
"252","Under $5,000","Wrong Track"
"253","$40,000-$44,999","Wrong Track"
"254","$10,000-$12,499","Wrong Track"
"255","$45,000-$49,999","Right Direction"
"256","$55,000-$59,999","Wrong Track"
"257","$70,000-$74,999","Wrong Track"
"258","Under $5,000","Right Direction"
"259","$15,000-$17,499","Wrong Track"
"260","$100,000-$109,999","Right Direction"
"261","$65,000-$69,999","Right Direction"
"262","$110,000-$124,999","Right Direction"
"263","$80,000-$89,999","Wrong Track"
"264","$5,000-$9,999","Right Direction"
"265","$12,500-$14,999","Wrong Track"
"266","$60,000-$64,999","Wrong Track"
"267","$30,000-$34,999","Wrong Track"
"268","$50,000-$54,999","Wrong Track"
"269","$55,000-$59,999","Wrong Track"
"270","$15,000-$17,499","Wrong Track"
"271","$60,000-$64,999","Wrong Track"
"272","$15,000-$17,499","Wrong Track"
"273","$17,500-$19,999","Right Direction"
"274","$35,000-$39,999","Right Direction"
"275","$100,000-$109,999","Right Direction"
"276",NA,"Wrong Track"
"277","$50,000-$54,999","Right Direction"
"278","$30,000-$34,999","Wrong Track"
"279","$75,000-$79,999","Right Direction"
"280","$80,000-$89,999","Wrong Track"
"281","$17,500-$19,999","Wrong Track"
"282","$70,000-$74,999","Wrong Track"
"283","$150,000-$174,999","Right Direction"
"284","$40,000-$44,999","Wrong Track"
"285","$70,000-$74,999","Wrong Track"
"286","$55,000-$59,999","Wrong Track"
"287","Under $5,000","Wrong Track"
"288","$125,000-$149,999","Wrong Track"
"289","$60,000-$64,999","Wrong Track"
"290","$60,000-$64,999","Wrong Track"
"291","$75,000-$79,999","Wrong Track"
"292","$35,000-$39,999","Wrong Track"
"293","$10,000-$12,499","Wrong Track"
"294","$20,000-$22,499","Wrong Track"
"295","$125,000-$149,999","Right Direction"
"296","$40,000-$44,999","Right Direction"
"297","$50,000-$54,999","Right Direction"
"298","$60,000-$64,999","Right Direction"
"299","$10,000-$12,499","Right Direction"
"300","$60,000-$64,999","Wrong Track"
"301","$20,000-$22,499","Wrong Track"
"302","Under $5,000","Wrong Track"
"303","$22,500-$24,999","Wrong Track"
"304","$22,500-$24,999",NA
"305","$40,000-$44,999","Wrong Track"
"306","Under $5,000","Wrong Track"
"307","$30,000-$34,999","Wrong Track"
"308","$40,000-$44,999","Right Direction"
"309","$15,000-$17,499",NA
"310","$80,000-$89,999","Right Direction"
"311","$50,000-$54,999","Wrong Track"
"312","$40,000-$44,999","Wrong Track"
"313","Under $5,000","Right Direction"
"314","$10,000-$12,499","Wrong Track"
"315","$27,500-$29,999","Wrong Track"
"316",NA,"Wrong Track"
"317","$60,000-$64,999","Right Direction"
"318","$20,000-$22,499","Wrong Track"
"319","$5,000-$9,999","Wrong Track"
"320","$100,000-$109,999","Wrong Track"
"321","$10,000-$12,499","Wrong Track"
"322","$40,000-$44,999","Wrong Track"
"323","$10,000-$12,499","Wrong Track"
"324","$35,000-$39,999","Right Direction"
"325","$60,000-$64,999","Wrong Track"
"326","Under $5,000","Wrong Track"
"327","$5,000-$9,999","Wrong Track"
"328","$25,000-$27,499","Wrong Track"
"329","$55,000-$59,999","Wrong Track"
"330","$5,000-$9,999","Wrong Track"
"331","$15,000-$17,499","Right Direction"
"332","$100,000-$109,999","Right Direction"
"333","$150,000-$174,999","Right Direction"
"334","$10,000-$12,499","Right Direction"
"335","$90,000-$99,999","Right Direction"
"336","$40,000-$44,999","Right Direction"
"337","$60,000-$64,999","Right Direction"
"338","$125,000-$149,999","Wrong Track"
"339","$125,000-$149,999","Wrong Track"
"340","$250,000 Or More","Right Direction"
"341","$75,000-$79,999","Wrong Track"
"342","$75,000-$79,999","Right Direction"
"343","$60,000-$64,999","Wrong Track"
"344","$70,000-$74,999","Right Direction"
"345","$50,000-$54,999","Right Direction"
"346","$35,000-$39,999","Wrong Track"
"347","$60,000-$64,999","Wrong Track"
"348","$30,000-$34,999","Wrong Track"
"349","$27,500-$29,999","Right Direction"
"350",NA,"Right Direction"
"351","$35,000-$39,999","Right Direction"
"352","$15,000-$17,499","Wrong Track"
"353","Under $5,000","Wrong Track"
"354","$15,000-$17,499","Right Direction"
"355","$22,500-$24,999","Wrong Track"
"356","$45,000-$49,999","Wrong Track"
"357","Under $5,000","Right Direction"
"358","$40,000-$44,999","Wrong Track"
"359","$5,000-$9,999","Right Direction"
"360","$10,000-$12,499","Wrong Track"
"361","$5,000-$9,999",NA
"362","Under $5,000","Wrong Track"
"363","$15,000-$17,499","Right Direction"
"364","$35,000-$39,999","Right Direction"
"365","Under $5,000","Wrong Track"
"366","$5,000-$9,999","Wrong Track"
"367","$50,000-$54,999","Wrong Track"
"368","$35,000-$39,999","Wrong Track"
"369","$5,000-$9,999","Wrong Track"
"370","$27,500-$29,999","Wrong Track"
"371","$45,000-$49,999","Wrong Track"
"372","$55,000-$59,999","Wrong Track"
"373","$25,000-$27,499","Wrong Track"
"374","$75,000-$79,999","Wrong Track"
"375","$80,000-$89,999","Wrong Track"
"376","$175,000-$249,999","Wrong Track"
"377","$70,000-$74,999","Right Direction"
"378","$110,000-$124,999","Right Direction"
"379","$110,000-$124,999","Right Direction"
"380","$50,000-$54,999","Right Direction"
"381","$150,000-$174,999","Right Direction"
"382","$80,000-$89,999","Wrong Track"
"383","$30,000-$34,999","Wrong Track"
"384","$125,000-$149,999","Wrong Track"
"385","Under $5,000","Wrong Track"
"386","$60,000-$64,999","Wrong Track"
"387","$40,000-$44,999","Wrong Track"
"388","$25,000-$27,499","Right Direction"
"389",NA,"Wrong Track"
"390","$22,500-$24,999","Wrong Track"
"391","$75,000-$79,999","Wrong Track"
"392","$25,000-$27,499","Wrong Track"
"393","$110,000-$124,999","Wrong Track"
"394","$20,000-$22,499","Wrong Track"
"395","$55,000-$59,999","Wrong Track"
"396","$10,000-$12,499","Wrong Track"
"397","$10,000-$12,499","Wrong Track"
"398","$5,000-$9,999",NA
"399","$20,000-$22,499","Right Direction"
"400","$22,500-$24,999","Right Direction"
"401","$10,000-$12,499","Right Direction"
"402","$20,000-$22,499","Wrong Track"
"403","$22,500-$24,999","Wrong Track"
"404","$80,000-$89,999","Wrong Track"
"405","$20,000-$22,499","Wrong Track"
"406","$175,000-$249,999",NA
"407","$80,000-$89,999","Wrong Track"
"408","$25,000-$27,499","Wrong Track"
"409","$100,000-$109,999","Wrong Track"
"410",NA,"Right Direction"
"411","$30,000-$34,999","Right Direction"
"412",NA,"Wrong Track"
"413","$70,000-$74,999","Wrong Track"
"414","Under $5,000","Right Direction"
"415","$30,000-$34,999","Wrong Track"
"416","$50,000-$54,999","Wrong Track"
"417","$35,000-$39,999","Wrong Track"
"418","$15,000-$17,499","Wrong Track"
"419","$15,000-$17,499","Wrong Track"
"420","$10,000-$12,499","Wrong Track"
"421","$30,000-$34,999","Wrong Track"
"422","$5,000-$9,999","Wrong Track"
"423","Under $5,000","Wrong Track"
"424","$5,000-$9,999","Wrong Track"
"425",NA,"Wrong Track"
"426","$10,000-$12,499","Wrong Track"
"427",NA,"Wrong Track"
"428","$10,000-$12,499","Wrong Track"
"429","$5,000-$9,999","Wrong Track"
"430","Under $5,000","Right Direction"
"431","$20,000-$22,499","Wrong Track"
"432","$12,500-$14,999","Wrong Track"
"433","$5,000-$9,999","Wrong Track"
"434","$80,000-$89,999",NA
"435","$80,000-$89,999","Wrong Track"
"436","$10,000-$12,499",NA
"437","$50,000-$54,999","Wrong Track"
"438","$80,000-$89,999","Right Direction"
"439","$80,000-$89,999","Wrong Track"
"440","$20,000-$22,499","Wrong Track"
"441","$90,000-$99,999","Right Direction"
"442","$30,000-$34,999","Wrong Track"
"443","Under $5,000","Right Direction"
"444","$100,000-$109,999","Wrong Track"
"445","$175,000-$249,999","Right Direction"
"446","$40,000-$44,999","Right Direction"
"447","$90,000-$99,999","Right Direction"
"448","$5,000-$9,999","Wrong Track"
"449","$75,000-$79,999","Wrong Track"
"450","$50,000-$54,999","Wrong Track"
"451","$150,000-$174,999","Wrong Track"
"452","$65,000-$69,999","Right Direction"
"453","$30,000-$34,999","Right Direction"
"454","$40,000-$44,999","Wrong Track"
"455","$60,000-$64,999","Right Direction"
"456","$17,500-$19,999","Wrong Track"
"457",NA,"Wrong Track"
"458","$40,000-$44,999","Right Direction"
"459","$100,000-$109,999","Wrong Track"
"460","$20,000-$22,499","Wrong Track"
"461","$70,000-$74,999",NA
"462","$5,000-$9,999","Wrong Track"
"463",NA,"Wrong Track"
"464","Under $5,000","Wrong Track"
"465","$30,000-$34,999","Right Direction"
"466","$125,000-$149,999","Wrong Track"
"467","$20,000-$22,499","Wrong Track"
"468","$30,000-$34,999","Right Direction"
"469","$5,000-$9,999","Wrong Track"
"470","$80,000-$89,999","Right Direction"
"471",NA,"Wrong Track"
"472","$25,000-$27,499","Right Direction"
"473","$22,500-$24,999","Wrong Track"
"474","$40,000-$44,999","Wrong Track"
"475","$65,000-$69,999",NA
"476","$22,500-$24,999","Right Direction"
"477","$15,000-$17,499",NA
"478","$40,000-$44,999","Right Direction"
"479","$22,500-$24,999","Wrong Track"
"480","$30,000-$34,999","Wrong Track"
"481","$80,000-$89,999","Wrong Track"
"482","$35,000-$39,999","Right Direction"
"483","$15,000-$17,499","Right Direction"
"484",NA,"Wrong Track"
"485","$30,000-$34,999","Right Direction"
"486","$45,000-$49,999","Right Direction"
"487","$22,500-$24,999","Right Direction"
"488","$30,000-$34,999","Right Direction"
"489","Under $5,000","Right Direction"
"490","$5,000-$9,999","Wrong Track"
"491","$60,000-$64,999","Right Direction"
"492","Under $5,000","Wrong Track"
"493","$45,000-$49,999","Wrong Track"
"494",NA,"Wrong Track"
"495","$5,000-$9,999","Right Direction"
"496","$10,000-$12,499","Right Direction"
"497","$5,000-$9,999","Right Direction"
"498","$10,000-$12,499","Wrong Track"
"499","$17,500-$19,999","Wrong Track"
"500","$15,000-$17,499","Wrong Track"
"501","Under $5,000","Wrong Track"
"502","$110,000-$124,999","Wrong Track"
"503",NA,"Wrong Track"
"504","$45,000-$49,999","Wrong Track"
"505","$30,000-$34,999","Wrong Track"
"506","$10,000-$12,499","Wrong Track"
"507","$30,000-$34,999","Wrong Track"
"508","$30,000-$34,999","Right Direction"
"509","$27,500-$29,999","Right Direction"
"510","$27,500-$29,999","Wrong Track"
"511","$60,000-$64,999","Right Direction"
"512","$30,000-$34,999","Wrong Track"
"513","$45,000-$49,999","Right Direction"
"514","$5,000-$9,999","Wrong Track"
"515","Under $5,000","Wrong Track"
"516","$65,000-$69,999","Right Direction"
"517","$55,000-$59,999","Right Direction"
"518","$10,000-$12,499","Right Direction"
"519","$30,000-$34,999","Wrong Track"
"520","$90,000-$99,999","Wrong Track"
"521","$22,500-$24,999","Right Direction"
"522","$10,000-$12,499","Right Direction"
"523","$65,000-$69,999","Right Direction"
"524","Under $5,000","Wrong Track"
"525","$110,000-$124,999","Right Direction"
"526",NA,"Wrong Track"
"527","$17,500-$19,999","Right Direction"
"528","$75,000-$79,999","Wrong Track"
"529","$35,000-$39,999","Wrong Track"
"530","$25,000-$27,499","Wrong Track"
"531","$25,000-$27,499","Right Direction"
"532","$40,000-$44,999","Right Direction"
"533","$90,000-$99,999","Wrong Track"
"534","$65,000-$69,999","Wrong Track"
"535","$50,000-$54,999","Right Direction"
"536","$100,000-$109,999","Wrong Track"
"537","$80,000-$89,999","Right Direction"
"538","$100,000-$109,999","Right Direction"
"539","$40,000-$44,999","Right Direction"
"540","$125,000-$149,999","Right Direction"
"541","$150,000-$174,999","Right Direction"
"542","Under $5,000","Right Direction"
"543","$65,000-$69,999",NA
"544","$80,000-$89,999","Wrong Track"
"545","$12,500-$14,999","Wrong Track"
"546",NA,"Wrong Track"
"547","$10,000-$12,499","Wrong Track"
"548","$5,000-$9,999","Right Direction"
"549","$35,000-$39,999","Right Direction"
"550","$100,000-$109,999","Right Direction"
"551","$30,000-$34,999","Right Direction"
"552","$65,000-$69,999","Right Direction"
"553","$45,000-$49,999","Wrong Track"
"554","$35,000-$39,999","Right Direction"
"555","$20,000-$22,499","Right Direction"
"556","$20,000-$22,499","Right Direction"
"557","Under $5,000","Right Direction"
"558","Under $5,000","Right Direction"
"559","$5,000-$9,999","Right Direction"
"560","$40,000-$44,999","Right Direction"
"561","$50,000-$54,999","Wrong Track"
"562","$65,000-$69,999","Right Direction"
"563","$55,000-$59,999","Right Direction"
"564","$40,000-$44,999","Wrong Track"
"565","$100,000-$109,999","Right Direction"
"566","$90,000-$99,999","Right Direction"
"567","$75,000-$79,999","Right Direction"
"568","$65,000-$69,999","Right Direction"
"569","$35,000-$39,999","Right Direction"
"570","$50,000-$54,999","Right Direction"
"571","$35,000-$39,999","Right Direction"
"572","$22,500-$24,999","Right Direction"
"573","$40,000-$44,999","Right Direction"
"574","$40,000-$44,999","Right Direction"
"575","$90,000-$99,999","Right Direction"
"576","$30,000-$34,999","Right Direction"
"577",NA,"Right Direction"
"578","$90,000-$99,999","Wrong Track"
"579",NA,"Right Direction"
"580","$17,500-$19,999","Right Direction"
"581","Under $5,000","Wrong Track"
"582","$20,000-$22,499","Right Direction"
"583","$30,000-$34,999","Right Direction"
"584","$5,000-$9,999","Right Direction"
"585","$70,000-$74,999","Right Direction"
"586","$70,000-$74,999","Wrong Track"
"587","$10,000-$12,499","Right Direction"
"588","$45,000-$49,999","Right Direction"
"589","$40,000-$44,999","Wrong Track"
"590","Under $5,000","Right Direction"
"591","Under $5,000","Right Direction"
"592","$45,000-$49,999","Right Direction"
"593","$50,000-$54,999","Right Direction"
"594","$40,000-$44,999","Right Direction"
"595","$35,000-$39,999","Right Direction"
"596","$30,000-$34,999",NA
"597","$25,000-$27,499","Right Direction"
"598","$45,000-$49,999","Wrong Track"
"599","$25,000-$27,499","Right Direction"
"600","$25,000-$27,499","Right Direction"
"601","$90,000-$99,999","Right Direction"
"602","$250,000 Or More","Right Direction"
"603","Under $5,000","Right Direction"
"604","Under $5,000","Right Direction"
"605","$70,000-$74,999","Right Direction"
"606","$20,000-$22,499","Right Direction"
"607","$45,000-$49,999","Right Direction"
"608",NA,"Right Direction"
"609","$60,000-$64,999","Wrong Track"
"610","Under $5,000","Right Direction"
"611","$40,000-$44,999","Right Direction"
"612","$70,000-$74,999","Right Direction"
"613",NA,"Right Direction"
"614","$80,000-$89,999","Right Direction"
"615","Under $5,000","Right Direction"
"616","$5,000-$9,999","Right Direction"
"617","$15,000-$17,499","Right Direction"
"618","$5,000-$9,999","Right Direction"
"619","Under $5,000","Wrong Track"
"620","$17,500-$19,999",NA
"621","$100,000-$109,999","Right Direction"
"622","$22,500-$24,999","Wrong Track"
"623","$40,000-$44,999","Wrong Track"
"624","$35,000-$39,999","Wrong Track"
"625","$30,000-$34,999","Right Direction"
"626","$25,000-$27,499","Wrong Track"
"627","Under $5,000","Wrong Track"
"628","$5,000-$9,999","Wrong Track"
"629","Under $5,000","Right Direction"
"630","$90,000-$99,999","Right Direction"
"631","$10,000-$12,499",NA
"632","$5,000-$9,999","Wrong Track"
"633","$25,000-$27,499","Right Direction"
"634","$50,000-$54,999",NA
"635",NA,"Right Direction"
"636","$5,000-$9,999","Wrong Track"
"637","$40,000-$44,999","Wrong Track"
"638","$35,000-$39,999","Wrong Track"
"639","$175,000-$249,999","Wrong Track"
"640",NA,"Right Direction"
"641","$90,000-$99,999","Wrong Track"
"642","$30,000-$34,999","Right Direction"
"643","$15,000-$17,499","Right Direction"
"644","$45,000-$49,999","Right Direction"
"645",NA,"Wrong Track"
"646","Under $5,000","Wrong Track"
"647","$25,000-$27,499","Right Direction"
"648","$20,000-$22,499",NA
"649",NA,"Wrong Track"
"650","$40,000-$44,999","Right Direction"
"651","$70,000-$74,999","Right Direction"
"652","$25,000-$27,499","Right Direction"
"653","$15,000-$17,499","Right Direction"
"654","$65,000-$69,999","Right Direction"
"655","$60,000-$64,999","Wrong Track"
"656","$15,000-$17,499","Right Direction"
"657","$25,000-$27,499","Right Direction"
"658","$20,000-$22,499","Wrong Track"
"659","$10,000-$12,499","Right Direction"
"660","$65,000-$69,999","Right Direction"
"661","$55,000-$59,999","Right Direction"
"662","$45,000-$49,999","Right Direction"
"663","$110,000-$124,999","Right Direction"
"664","$75,000-$79,999",NA
"665","$35,000-$39,999",NA
"666","$100,000-$109,999","Right Direction"
"667","$10,000-$12,499","Wrong Track"
"668","$10,000-$12,499","Wrong Track"
"669","$20,000-$22,499","Wrong Track"
"670","$27,500-$29,999","Wrong Track"
"671","$70,000-$74,999","Wrong Track"
"672","$50,000-$54,999","Right Direction"
"673","$60,000-$64,999","Right Direction"
"674","$22,500-$24,999","Wrong Track"
"675","$30,000-$34,999","Right Direction"
"676","$35,000-$39,999","Wrong Track"
"677","$90,000-$99,999","Wrong Track"
"678","$35,000-$39,999","Wrong Track"
"679","Under $5,000","Right Direction"
"680","$90,000-$99,999","Wrong Track"
"681","$25,000-$27,499","Wrong Track"
"682","$17,500-$19,999","Right Direction"
"683","$30,000-$34,999","Wrong Track"
"684","$50,000-$54,999","Wrong Track"
"685","$40,000-$44,999","Wrong Track"
"686","$45,000-$49,999","Wrong Track"
"687","$20,000-$22,499","Wrong Track"
"688","$35,000-$39,999","Right Direction"
"689","$25,000-$27,499","Wrong Track"
"690","$35,000-$39,999","Wrong Track"
"691","$20,000-$22,499",NA
"692","$27,500-$29,999",NA
"693","$5,000-$9,999","Right Direction"
"694","$45,000-$49,999","Right Direction"
"695","$27,500-$29,999","Right Direction"
"696",NA,"Right Direction"
"697","$40,000-$44,999","Wrong Track"
"698","$10,000-$12,499","Right Direction"
"699","$65,000-$69,999","Wrong Track"
"700","$35,000-$39,999","Wrong Track"
"701","$17,500-$19,999",NA
"702","Under $5,000","Wrong Track"
"703","$10,000-$12,499","Wrong Track"
"704","$25,000-$27,499","Wrong Track"
"705","$30,000-$34,999","Wrong Track"
"706","$20,000-$22,499","Right Direction"
